food_name,calories,protein,fat,carbs,fiber,sugar,meal_type,cat
Bread Whole-Wheat Prepared From Recipe Toasted,305.0,9.2,5.9,56.4,6.7,4.2,break-fast,vegan
Salad Dressing Russian Dressing Low Calorie,141.0,0.5,4.0,27.6,0.3,21.9,common,vegan
Muffin English With Fruit Other Than Raisins,243.0,9.3,1.8,47.6,3.9,4.8,break-fast,vegan
Potato Chips Restructured Lightly Salted,559.0,6.7,35.3,53.4,4.2,0.3,snacks,vegan
Rice Brown Cooked Fat Not Added In Cooking,122.0,2.7,1.0,25.4,1.6,0.2,lunch,vegan
Infant Formula Mead Johnson Pregestimil 24 Calories Ready To Feed With Ara And Dha,72.0,2.2,4.4,6.0,0.0,0.0,common,vegan
Mustard Greens Cooked Ns As To Form Ns As To Fat Added In Cooking,46.0,2.5,2.8,4.3,1.9,1.4,lunch,vegan
Pizza Hut 14 Inch Sausage Pizza Pan Crust,287.0,11.1,13.8,29.6,2.0,1.8,lunch,vegan
Muffins Plain Prepared From Recipe Made With Low Fat (2%) Milk,296.0,6.9,11.4,41.4,2.7,0.0,break-fast,vegan
Black Brown Or Bayo Beans Dry Cooked Fat Added In Cooking Ns As To Type Of Fat,184.0,8.2,7.5,21.9,8.0,0.3,lunch,vegan
Licuado Or Batido,71.0,2.4,1.4,13.1,0.7,11.0,break-fast,vegan
Popcorn Microwave Plain Light,421.0,12.5,9.4,71.5,14.1,0.9,snacks,vegan
Hyacinth-Beans Immature Seeds Cooked Boiled Drained With Salt,50.0,3.0,0.3,9.2,0.0,0.0,lunch,vegan
Chicken Rice Soup Puerto Rican Style,77.0,7.2,1.6,8.6,0.9,0.5,lunch,vegan
Bread Rice Bran,243.0,8.9,4.6,43.5,4.9,4.7,break-fast,vegan
Vegetable Beef Soup With Rice Canned Prepared With Water Or Ready-To-Serve,32.0,2.3,0.8,4.1,0.8,0.4,lunch,vegan
Mustard Cabbage Cooked Ns As To Fat Added In Cooking,29.0,1.5,2.1,1.7,1.0,0.8,lunch,vegan
Quail Egg Canned,178.0,14.7,12.5,0.5,0.0,0.4,break-fast,vegan
Potato Mashed From Dry Mix Nfs,113.0,2.0,6.3,12.8,0.9,1.6,dinner,vegan
Dried Pears,262.0,1.9,0.6,69.7,7.5,62.2,snacks,vegan
